first,last,Tossing_Percentage,era
Kevin,Slowey,0.66895,4.4577
Jason,Marquis,0.67130,4.5000
Joel,Pineiro,0.67194,4.0673
Jeanmar,Gomez,0.67730,4.6500
Joe,Blanton,0.67938,4.7896
Shawn,Camp,0.69610,5.3832
Dallas,Keuchel,0.69924,4.8929
Carl,Pavano,0.70167,4.2524
Chris,Volstad,0.71172,4.9142
Chad,Qualls,0.71243,5.9345
Kyle,Davies,0.71532,5.2414
Jordan,Lyles,0.71942,5.1332
Scott,Diamond,0.72434,4.2750
Jeff,Francis,0.73889,4.9290
James,Russell,0.74189,6.2083
Blake,Beavan,0.74281,4.3188
Josh,Tomlin,0.74491,4.6023
Rodrigo,Lopez,0.77296,4.8857
Tim,Wakefield,0.77739,5.3762
Zach,Duke,0.79779,5.3505
Brad,Bergesen,0.80728,5.2258
Brad,Penny,0.81557,5.0645
Aaron,Cook,0.81742,5.1851
Nick,Blackburn,0.86524,5.2867
